,Facility Id,FRS Id,Facility Name,City,State,Latitude,Longitude,Total reported emissions,CO2 emissions,Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,SF6 emissions,Subpart Letter,Name of industry,Facility Type
37,1000046,110017973335,BADLANDS SANITARY LANDFILL,MORENO VALLEY,CA,33.9541,-117.1168,82236.25,,82236.25,,,HH,Municipal Landfills,Direct Emitter
38,1002896,110063276119,BAKERSFIELD METROPOLITAN SANITARY LANDFILL,Edison,CA,35.422469,-118.708138,41041.25,,41041.25,,,HH,Municipal Landfills,Direct Emitter
39,1007875,110010380346,BALDWIN COUNTY SOLID WASTE,SUMMERDALE,AL,30.443309,-87.774276,265100.25,,265100.25,,,HH,Municipal Landfills,Direct Emitter
40,1002168,110063279349,BARTHOLOMEW CO LANDFILL,COLUMBUS,IN,39.224811,-85.800619,18039.75,,18039.75,,,HH,Municipal Landfills,Direct Emitter
41,1007684,110030493357,BAYTOWN LANDFILL,BAYTOWN,TX,29.680398,-94.930647,41826.25,,41826.25,,,HH,Municipal Landfills,Direct Emitter
42,1003744,110000791590,BEECHER LANDFILL,BEECHER,IL,41.384838,-87.637077,1762.75,,1762.75,,,HH,Municipal Landfills,Direct Emitter
43,1003478,110071160515,BERKELEY COUNTY LANDFILL,MONCKS CORNER,SC,33.113872,-80.028486,69073.0,,69073.0,,,HH,Municipal Landfills,Direct Emitter
44,1005281,110060932512,BI-COUNTY SOLID WASTE MANAGEMENT SYSTEMS,Woodlawn,TN,36.538,-87.54235,166773.5,,166773.5,,,HH,Municipal Landfills,Direct Emitter
45,1006223,110060394933,BIG RIVER LANDFILL,LELAND,MS,33.3955,-90.90665,148066.5,,148066.5,,,HH,Municipal Landfills,Direct Emitter
46,1007094,110041417918,BIG RUN LANDFILL,ASHLAND,KY,38.37327,-82.75861,283730.75,,283730.75,,,HH,Municipal Landfills,Direct Emitter
47,1004354,110006263248,BIGFOOT RUN LANDFILL,MORROW,OH,39.36463,-84.168816,5342.5,,5342.5,,,HH,Municipal Landfills,Direct Emitter
48,1000477,110013946766,BILLINGS CITY LANDFILL,BILLINGS,MT,45.722949,-108.543015,137523.5,,137523.5,,,HH,Municipal Landfills,Direct Emitter
49,1011449,110000782840,BKK Corporation,West Covina,CA,34.036441,-117.902294,281537.75,,281537.75,,,HH,Municipal Landfills,Direct Emitter
50,1000287,110060998390,BLACK HAWK COUNTY SANITARY LANDFILL,WATERLOO,IA,42.41399,-92.32887,170383.25,,170383.25,,,HH,Municipal Landfills,Direct Emitter
51,1005518,110014003531,BLACK OAK LANDFILL,HARTVILLE,MO,37.2413,-92.4584,33631.25,,33631.25,,,HH,Municipal Landfills,Direct Emitter
52,1005891,110033518076,BLUE RIDGE LANDFILL,FRESNO,TX,29.555893,-95.441863,319680.5,,319680.5,,,HH,Municipal Landfills,Direct Emitter
53,1006661,110001389934,BOULDER LANDFILL,BOULDER,CO,39.950304,-105.20126,12472.0,,12472.0,,,HH,Municipal Landfills,Direct Emitter
54,1003356,110070081862,BRADLEY COUNTY LANDFILL,MCDONALD,TN,35.156568,-84.958905,232880.75,,232880.75,,,HH,Municipal Landfills,Direct Emitter
